anticipation,joy,negative,sadness,disgust,positive,anger,surprise,fear,trust,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN
21.52438624,22.3785505956,18.6498397391,8.95752357917,3.2913692325,31.3838596865,6.75629688069,9.46551544508,5.88342898955,16.0884554627,4.45,2.5,3.05,3.65,3.9,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,3.0,3.0,2.95,3.0,0.0,1.0,0.0,0.0,0.0
11.7693292433,7.56540261784,12.8246239623,6.32188714603,3.69664506798,19.7534367013,5.23888853681,5.1253333205,4.52818447306,7.51110187087,5.0,1.75,3.0,3.5,3.5,1.0,0.0,0.0,1.0,0.0
37.9743076659,33.0952066816,38.6857539992,15.6595198953,11.6196401015,63.6331264718,16.8879909858,17.0403855596,19.9849557054,34.2770432129,4.2,1.55,4.95,3.4,4.65,1.0,0.0,1.0,0.0,1.0
0.788675134595,0.288675134595,1.65470053838,0.866025403784,0.0,0.288675134595,0.788675134595,0.288675134595,0.288675134595,1.36602540378,4.38,2.38,4.0,3.25,2.63,1.0,0.0,1.0,0.0,0.0
2.59689889211,1.03444565625,3.721657244,2.35357837679,1.7272781467,5.50532709298,1.43228484557,1.0,2.00963511476,1.96117796055,2.63,4.75,2.25,3.63,4.25,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.4472135955,0.4472135955,0.0,0.0,0.4472135955,0.0,0.4472135955,0.4472135955,3.35,2.05,3.0,3.85,4.5,0.0,0.0,0.0,1.0,1.0
8.47629770574,4.88492615789,5.98177602848,2.62955148429,1.98627773754,10.9082607051,0.353553390593,0.942770774289,1.85355339059,4.25865196453,4.0,2.5,4.5,3.75,5.0,1.0,0.0,1.0,1.0,1.0
0.0,0.707106781187,0.0,0.0,0.0,0.707106781187,0.0,0.0,0.0,0.0,4.55,2.15,3.25,3.2,4.9,1.0,0.0,0.0,0.0,1.0
19.3839112744,11.8729809257,13.6696420323,10.7892292396,4.79333390552,22.2572226497,7.66153542284,3.40242507095,11.9299786324,12.0588152187,4.1,1.78,3.3,4.3,4.7,1.0,0.0,0.0,1.0,1.0
8.05208943705,2.67412496404,3.50926165168,3.39670094815,1.69303388567,5.08833852641,1.92577264375,1.51042000504,3.21759775036,3.01098825722,3.25,3.75,1.75,4.0,3.5,0.0,1.0,0.0,1.0,0.0
14.3647630881,11.8463564477,19.9575808075,10.678186602,6.64532739368,18.4584992159,8.37990854121,6.78896246136,7.34780798319,11.6659428101,3.35,2.35,2.85,3.2,3.7,0.0,0.0,0.0,0.0,0.0
0.476355919822,1.49969046703,0.480384461415,0.160128153805,0.160128153805,1.98007492844,0.32025630761,0.160128153805,0.160128153805,0.636484073627,2.2,3.25,4.15,2.6,4.4,0.0,1.0,1.0,0.0,1.0
3.07735026919,2.07735026919,0.57735026919,0.57735026919,0.0,2.07735026919,0.0,1.0,0.57735026919,0.5,3.5,2.0,3.9,4.5,3.9,0.0,0.0,1.0,1.0,1.0
4.36161392215,6.00326738552,11.1515909459,2.68842684147,2.24197476463,13.1882131709,2.81199106237,2.4166419082,4.27276500519,5.44123997555,3.5,1.89,4.1,3.2,4.3,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.707106781187,0.0,0.0,1.0,0.707106781187,0.0,0.0,0.0,3.25,2.25,4.75,4.25,4.25,0.0,0.0,1.0,1.0,1.0
0.0,1.57735026919,1.0,0.0,0.0,1.57735026919,1.0,0.0,0.0,0.57735026919,3.5,1.6,3.75,3.95,4.0,0.0,0.0,1.0,1.0,1.0
0.408248290464,0.0,0.408248290464,0.408248290464,0.408248290464,0.0,0.408248290464,0.0,0.408248290464,0.0,1.7,4.7,1.95,4.05,3.6,0.0,1.0,0.0,1.0,0.0
3.80427688346,5.0117231853,3.40593504022,2.45872144472,1.22720358111,6.89431525532,0.475775655969,1.52460643711,1.46896994442,4.34802912518,2.15,3.1,3.8,2.8,3.85,0.0,1.0,1.0,0.0,1.0
