fawn,0,0,1,0,0,0,0,0,0,0
unscientific,0,0,0,0,0,0,0,0,0,0
cussed,0,0,0,0,0,0,1,0,0,0
inadequacy,0,0,1,0,0,0,0,0,0,0
colony,0,0,0,0,0,0,0,0,0,0
foul,0,0,1,0,1,0,1,0,1,0
narcotic,0,0,1,0,0,0,0,0,0,0
prefix,0,0,0,0,0,0,0,0,0,0
aegis,0,0,0,0,0,0,0,0,0,0
mirage,0,0,0,0,0,0,0,0,0,0
conjuring,0,0,1,0,0,0,0,0,0,0
woody,0,0,0,0,0,0,0,0,0,0
centimeter,0,0,0,0,0,0,0,0,0,0
aggression,0,0,1,0,0,0,1,0,1,0
conjure,1,0,0,0,0,0,0,1,0,0
conformance,0,0,0,0,0,1,0,0,0,0
analytic,0,0,0,0,0,0,0,0,0,0
eligible,0,0,0,0,0,1,0,0,0,0
electricity,0,0,0,0,0,1,0,0,0,0
chatter,0,0,0,0,0,0,0,0,0,0
powdery,0,0,0,0,0,0,0,0,0,0
scold,0,0,1,1,1,0,1,0,1,0
quadruple,0,0,0,0,0,0,0,0,0,0
originality,0,0,0,0,0,1,0,1,0,0
opener,0,0,0,0,0,0,0,0,0,0
hardness,0,0,1,0,0,0,0,0,0,0
lore,0,0,0,0,0,0,0,0,0,0
inwards,0,0,0,0,0,0,0,0,0,0
immature,1,0,1,0,0,0,0,0,0,0
dissolution,0,0,1,1,0,0,1,1,1,0
shaving,0,0,0,0,0,0,0,0,0,0
digit,0,0,0,0,0,0,0,0,0,1
propane,0,0,0,0,0,0,0,0,0,0
regional,0,0,0,0,0,0,0,0,0,0
dell,0,0,0,0,0,0,0,0,0,0
stipulate,0,0,0,0,0,0,0,0,0,0
eugenics,0,0,0,0,0,0,0,0,0,0
appropriation,0,0,1,0,0,0,0,0,0,0
tantalizing,1,1,1,0,0,1,0,1,0,0
leisurely,0,0,0,0,0,1,0,0,0,0
microbe,0,0,0,0,0,0,0,0,0,0
fur,0,0,0,0,0,0,0,0,0,0
screaming,0,0,1,0,1,0,1,0,1,0
internally,0,0,0,0,0,0,0,0,0,0
scholar,0,0,0,0,0,1,0,0,0,0
yachting,0,0,0,0,0,0,0,0,0,0
wooden,0,0,0,0,0,0,0,0,0,0
clientele,0,0,0,0,0,0,0,0,0,0
satchel,0,0,0,0,0,0,0,0,0,0
crotch,0,0,0,0,0,0,0,0,0,0
succession,0,0,0,0,0,0,0,0,0,0
straight,0,0,0,0,0,0,0,0,0,0
ornamental,0,0,0,0,0,0,0,0,0,0
charter,0,0,0,0,0,0,0,0,0,0
specially,0,0,0,0,0,0,0,0,0,0
nigh,0,0,0,0,0,0,0,0,0,0
tired,0,0,1,0,0,0,0,0,0,0
corvette,0,0,0,0,0,0,0,0,0,0
cytomegalovirus,0,0,1,1,0,0,0,0,0,0
hanging,0,0,1,1,1,0,1,0,1,0
pulse,0,0,0,0,0,0,0,0,0,0
empirical,0,0,0,0,0,0,0,0,0,0
feasibility,0,0,0,0,0,0,0,0,0,0
elegant,0,1,0,0,0,1,0,0,0,0
rusty,0,0,1,0,0,0,0,0,0,0
valiant,0,0,0,0,0,1,0,0,0,0
consenting,0,0,0,0,0,0,0,0,0,0
tether,0,0,1,0,0,0,0,0,0,0
sterile,0,0,1,1,0,0,0,0,0,0
loathing,0,0,1,0,1,0,0,0,0,0
inanimate,0,0,0,0,0,0,0,0,0,0
blouse,0,0,0,0,0,0,0,0,0,0
relieving,0,0,0,0,0,1,0,0,0,0
ruthless,0,0,1,0,1,0,1,0,1,0
thunder,0,0,0,0,0,0,0,0,0,0
cooking,0,0,0,0,0,0,0,0,0,0
schism,0,0,1,0,0,0,1,0,0,0
decry,0,0,1,0,0,0,1,0,0,0
fossil,0,0,0,0,0,0,0,0,0,0
designing,0,0,0,0,0,0,0,0,0,0
resilient,0,0,0,0,0,1,0,0,0,0
numeral,0,0,0,0,0,0,0,0,0,0
admiral,0,0,0,0,0,1,0,0,0,1
inducement,0,0,0,0,0,0,0,0,0,0
cull,0,0,1,0,0,0,0,0,0,0
specialist,0,0,0,0,0,0,0,0,0,1
crouch,0,0,0,0,0,0,0,0,1,0
avert,0,0,0,0,0,0,0,0,0,0
reporter,0,0,0,0,0,1,0,0,0,1
herb,0,0,0,0,0,0,0,0,0,0
splinter,0,0,1,0,0,0,0,0,0,0
